101010002,101011306,0,00,029,152,600,011,001,000,0,0,00000,000,0,029,029,029,029,027,026,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029
101010002,101025807,0,00,012,140,600,011,001,000,0,0,00000,000,0,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012,012
101010002,101049106,0,00,029,162,600,011,001,000,0,0,00000,000,0,029,029,029,029,029,028,028,029,029,029,029,029,029,029,028,028,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029
101011306,101010002,0,00,029,152,600,011,001,000,0,0,00000,000,0,029,029,029,029,029,028,028,029,029,029,029,029,029,029,028,028,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029
101011306,101013000,0,00,029,224,600,011,001,000,0,0,00000,000,0,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029
101012402,101013000,0,00,032,128,600,011,001,000,0,0,00000,000,0,032,032,032,025,024,024,028,031,032,032,032,032,032,032,031,032,032,032,032,032,032,032,032,032,032,032,032,032,031,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032
101012402,101296202,0,00,013,119,600,011,005,000,0,0,00000,000,0,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013,013
101013000,101011306,0,00,029,224,600,011,001,000,0,0,00000,000,0,029,029,029,029,028,028,029,029,029,029,029,029,029,028,027,029,029,029,029,029,029,029,029,029,029,029,029,029,028,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029,029
101013000,101012402,0,00,032,128,600,011,001,000,0,0,00000,000,0,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032,032
101013000,101013208,0,00,044,055,600,011,001,000,0,0,00000,000,0,044,044,044,038,036,036,039,043,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044,044
